ABV (%),Beer ID,Beer Name,Beer Style,Brewery ID,Ounces,Brewery Name,City,State
4.9,2404,Hop in the ‘Pool Helles,American Pilsner,116,12.0,Base Camp Brewing Co.,Portland, OR
6.7,2323,Ultra Gnar Gnar IPA,American IPA,116,12.0,Base Camp Brewing Co.,Portland, OR
6.800000000000001,2189,In-Tents India Pale Lager,American Pale Lager,116,12.0,Base Camp Brewing Co.,Portland, OR
5.0,2188,Lost Meridian Wit,Witbier,116,12.0,Base Camp Brewing Co.,Portland, OR
5.1,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12.0,Base Camp Brewing Co.,Portland, OR
5.4,1966,Wagon Party,California Common / Steam Beer,258,12.0,Bauhaus Brew Labs,Minneapolis, MN
6.7,1965,Sky-Five,American IPA,258,12.0,Bauhaus Brew Labs,Minneapolis, MN
5.0,1964,Stargrazer,Schwarzbier,258,12.0,Bauhaus Brew Labs,Minneapolis, MN
5.4,1963,Wonderstuff,German Pilsener,258,12.0,Bauhaus Brew Labs,Minneapolis, MN
5.3,1855,Tarnation California-Style Lager,California Common / Steam Beer,292,12.0,Baxter Brewing Company,Lewiston, ME
7.000000000000001,1778,On the Count of 3 (2015),Hefeweizen,292,16.0,Baxter Brewing Company,Lewiston, ME
4.7,1209,Summer Swelter,American Pale Wheat Ale,292,12.0,Baxter Brewing Company,Lewiston, ME
6.800000000000001,954,Phantom Punch Winter Stout,Foreign / Export Stout,292,12.0,Baxter Brewing Company,Lewiston, ME
6.6000000000000005,910,Hayride Autumn Ale,Rye Beer,292,12.0,Baxter Brewing Company,Lewiston, ME
4.7,707,Celsius Summer Ale (2012),American Pale Wheat Ale,292,12.0,Baxter Brewing Company,Lewiston, ME
5.5,533,Amber Road,American Amber / Red Ale,292,12.0,Baxter Brewing Company,Lewiston, ME
4.9,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12.0,Baxter Brewing Company,Lewiston, ME
6.9,182,Stowaway IPA,American IPA,292,12.0,Baxter Brewing Company,Lewiston, ME
8.799999999999999,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16.0,Beach Brewing Company,Virginia Beach, VA
5.0,2435,Watermelon Ale,Fruit / Vegetable Beer,103,12.0,Beer Works Brewery,Lowell, MA
5.79999999999999,2423,Fenway American Pale Ale,American Pale Ale (APA),103,12.0,Beer Works Brewery,Lowell, MA
6.800000000000001,2420,Back Bay IPA,American IPA,103,12.0,Beer Works Brewery,Lowell, MA
4.8,2419,Bunker Hill Blueberry Ale ,Other,103,12.0,Beer Works Brewery,Lowell, MA
5.79999999999999,2494,Oberon,American Pale Wheat Ale,76,12.0,Bell's Brewery,Kalamazoo, MI
6.0,2325,Smitten,Rye Beer,76,16.0,Bell's Brewery,Kalamazoo, MI
5.0,2022,Winter White,Witbier,76,16.0,Bell's Brewery,Kalamazoo, MI
5.79999999999999,1989,Oberon,American Pale Wheat Ale,76,16.0,Bell's Brewery,Kalamazoo, MI
7.000000000000001,1988,Two Hearted,American IPA,76,16.0,Bell's Brewery,Kalamazoo, MI
5.79999999999999,1955,Best Brown,American Brown Ale,76,16.0,Bell's Brewery,Kalamazoo, MI
4.3999999999999995,2558,Moar,English India Pale Ale (IPA),53,12.0,Bent Brewstillery,Roseville, MN
8.3,2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,53,16.0,Bent Brewstillery,Roseville, MN
5.7,2556,Nordic Blonde,American Blonde Ale,53,12.0,Bent Brewstillery,Roseville, MN
6.0,2496,Cold Press,American Black Ale,75,12.0,Bent Paddle Brewing Company,Duluth, MN
7.199999999999999,2410,Harness the Winter,American IPA,75,12.0,Bent Paddle Brewing Company,Duluth, MN
5.59999999999999,1902,14° ESB ,Extra Special / Strong Bitter (ESB),75,12.0,Bent Paddle Brewing Company,Duluth, MN
6.2,1901,Bent Hop Golden IPA,American IPA,75,12.0,Bent Paddle Brewing Company,Duluth, MN
6.0,1261,Bent Paddle Black Ale,American Black Ale,75,12.0,Bent Paddle Brewing Company,Duluth, MN
5.0,1253,Venture Pils,German Pilsener,75,12.0,Bent Paddle Brewing Company,Duluth, MN
5.5,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12.0,Berkshire Brewing Company,South Deerfield, MA
5.3,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12.0,Berkshire Brewing Company,South Deerfield, MA
7.8,1158,La Frontera Premium IPA,American IPA,463,12.0,Big Bend Brewing Company,Alpine, TX
4.7,1157,Tejas Lager,Czech Pilsener,463,12.0,Big Bend Brewing Company,Alpine, TX
6.4,1156,Number 22 Porter,American Porter,463,12.0,Big Bend Brewing Company,Alpine, TX
5.59999999999999,1155,Big Bend Hefeweizen,Hefeweizen,463,12.0,Big Bend Brewing Company,Alpine, TX
6.0,1154,Terlingua Gold,American Blonde Ale,463,12.0,Big Bend Brewing Company,Alpine, TX
8.1,2104,Aprè Shred,American Strong Ale,220,16.0,Big Choice Brewing,Broomfield, CO
9.5,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12.0,Big Choice Brewing,Broomfield, CO
4.09999999999999,1422,West Portal Colorado Common Summer Ale,California Common / Steam Beer,220,16.0,Big Choice Brewing,Broomfield, CO
6.7,1067,Disconnected Red,American Amber / Red Ale,220,16.0,Big Choice Brewing,Broomfield, CO
7.000000000000001,1003,Big Elm IPA,American IPA,477,12.0,Big Elm Brewing,Sheffield, MA
6.5,1002,Gerry Dog Stout,American Stout,477,12.0,Big Elm Brewing,Sheffield, MA
6.0,1001,413 Farmhouse Ale,Saison / Farmhouse Ale,477,12.0,Big Elm Brewing,Sheffield, MA
8.0,2639,Dark Star,American Stout,8,16.0,Big Lake Brewing,Holland, MI
6.2,2469,Ryecoe,American IPA,8,16.0,Big Lake Brewing,Holland, MI
6.0,2586,Blueberry Blonde,Fruit / Vegetable Beer,40,12.0,Big Muddy Brewing,Murphysboro, IL
7.5,2585,Galaxy IPA,American IPA,40,16.0,Big Muddy Brewing,Murphysboro, IL
5.0,643,Big River Pilsner,Czech Pilsener,519,12.0,Big River Brewing Company,Chattanooga, TN
6.0,632,House Brand IPA,American IPA,519,12.0,Big River Brewing Company,Chattanooga, TN
6.2,1714,Big Sky IPA,American IPA,336,12.0,Big Sky Brewing Company,Missoula, MT
5.0,1713,Scape Goat Pale Ale,English Pale Ale,336,12.0,Big Sky Brewing Company,Missoula, MT
5.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12.0,Big Sky Brewing Company,Missoula, MT
5.1,1711,Moose Drool Brown Ale,American Brown Ale,336,12.0,Big Sky Brewing Company,Missoula, MT
7.199999999999999,1456,Powder Hound Winter Ale,English Strong Ale,336,12.0,Big Sky Brewing Company,Missoula, MT
5.1,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12.0,Big Sky Brewing Company,Missoula, MT
5.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12.0,Big Sky Brewing Company,Missoula, MT
6.2,579,Big Sky IPA (2012),American IPA,336,12.0,Big Sky Brewing Company,Missoula, MT
4.7,168,Summer Honey,American Blonde Ale,336,12.0,Big Sky Brewing Company,Missoula, MT
5.0,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12.0,Big Sky Brewing Company,Missoula, MT
