City,State,% Age Over 19
Elko,Nevada,0.709914364541904
Ellensburg,Washington,0.7774017011362887
Emporia,Kansas,0.7376864377384669
Enterprise,Alabama,0.7390814781998745
Escanaba,Michigan,0.7856948894802586
Española,New Mexico,0.7483262400756614
"Eufaula, A",Georgia,0.7764913441393759
Eureka-Arcata,California,0.7781747487345022
Evanston,Wyoming,0.6979403925369517
Fairfield,Iowa,0.8238639994887199
Fairmont,Minnesota,0.7540547326136078
Fairmont,West Virginia,0.7676648631274442
Fallon,Nevada,0.7506122925008747
Faribault-Northfield,Minnesota,0.7385447949808213
Farmington,Missouri,0.7684517552301565
Fergus Falls,Minnesota,0.7615994404290044
Fernley,Nevada,0.7723100668275783
Findlay,Ohio,0.7548355122160308
Fitzgerald,Georgia,0.7289311108520806
Forest City,North Carolina,0.7782646393955346
Forrest City,Arkansas,0.7688112933726198
Fort Dodge,Iowa,0.7464398201739036
Fort Leonard Wood,Missouri,0.6987698825628066
"Fort Madison-Keokuk, IA-I",Missouri,0.7661767013652769
Fort Morgan,Colorado,0.7167333149476006
Fort Payne,Alabama,0.7359670254689262
Fort Polk South,Louisiana,0.7274033356237116
Frankfort,Indiana,0.711598366853168
Frankfort,Kentucky,0.7568709800969399
Fredericksburg,Texas,0.7823204015093234
Freeport,Illinois,0.76624792712569
Fremont,Nebraska,0.7249548554025281
Fremont,Ohio,0.7584773907860002
Gaffney,South Carolina,0.7447370299008064
Gainesville,Texas,0.7417858157371461
Galesburg,Illinois,0.7714743849963465
Gallup,New Mexico,0.691766508776818
Garden City,Kansas,0.6697461783894472
Gardnerville Ranchos,Nevada,0.8289352316021656
Georgetown,South Carolina,0.8103440183977096
Gillette,Wyoming,0.7172722912290568
Glasgow,Kentucky,0.7426083471480881
Glenwood Springs,Colorado,0.7531222880428631
Gloversville,New York,0.7802168838014911
Granbury,Texas,0.7748902245336489
Grand Rapids,Minnesota,0.7739738185045485
Grants,New Mexico,0.7446659799882284
Great Bend,Kansas,0.7323921319796954
Greeneville,Tennessee,0.7865082624148624
Greensburg,Indiana,0.7409954407294833
Greenville,Mississippi,0.7198251196007965
Greenville,Ohio,0.739384072717406
Greenwood,Mississippi,0.7205630943476867
Greenwood,South Carolina,0.7443566672925002
Grenada,Mississippi,0.7347531008659022
Guymon,Oklahoma,0.6819075005990893
Hailey,Idaho,0.7783053464582127
Hannibal,Missouri,0.7505594279688264
Harrison,Arkansas,0.7580494737309589
Hastings,Nebraska,0.7287201469687692
Hays,Kansas,0.7507120527961098
Heber,Utah,0.7139000328009487
Helena,Montana,0.7671236111603084
Helena-West Helena,Arkansas,0.7172764994341758
Henderson,North Carolina,0.7388408201967523
Hereford,Texas,0.6573735610235146
Hermiston-Pendleton,Oregon,0.7233533063895721
Hillsdale,Michigan,0.756246432178457
Hilo,Hawaii,0.767069480449075
Hobbs,New Mexico,0.6706618815407375
Holland,Michigan,0.7427366680446466
Hood River,Oregon,0.7468927962755123
Hope,Arkansas,0.7321473404827661
Houghton,Michigan,0.7376712328767123
Hudson,New York,0.8200006474796854
Huntingdon,Pennsylvania,0.7938435598897218
Huntington,Indiana,0.7551815235449519
Huntsville,Texas,0.8065455198327712
Huron,South Dakota,0.7013537601772896
Hutchinson,Kansas,0.7538020646758068
Hutchinson,Minnesota,0.7534776099088063
Indiana,Pennsylvania,0.7691166180054533
Indianola,Mississippi,0.7567908038737108
"Iron Mountain, M",Wisconsin,0.792955892034233
Jackson,Ohio,0.7401187290455538
"Jackson, W",Idaho,0.7902460800178561
Jacksonville,Illinois,0.7789915068639496
Jacksonville,Texas,0.7167544082822866
Jamestown,North Dakota,0.764367816091954
Jamestown-Dunkirk-Fredonia,New York,0.7647921644704156
Jasper,Alabama,0.7557314326267395
Jasper,Indiana,0.7400930098935234
Jefferson,Georgia,0.724995640584909
Jennings,Louisiana,0.7226155510898129
Jesup,Georgia,0.7385780118499012
Juneau,Alaska,0.7699934319582148
Kalispell,Montana,0.7644623527025283
Kapaa,Hawaii,0.76519998910883
Kearney,Nebraska,0.7306053005454897
Keene,New Hampshire,0.7851517541931229
Kendallville,Indiana,0.7346009697842336
